,arsno,bstopid,bstopnm,gpsx,gpsy,stoptype
0,01001,167970102,영주삼거리,129.0332616667,35.1153233333,일반
2,01003,167970301,시민아파트,129.0316783333,35.115075,일반
4,01005,167970302,중앙공원.민주공원입구,129.0298583333,35.1144733333,일반
7,01008,167970201,동아아파트,129.0304266667,35.1139666667,일반
9,01010,167660301,부산터널위,129.031769,35.113068,일반
10,01011,167840202,동주파크맨션,129.02967,35.1114416667,일반
12,01013,168020202,금호아파트,129.03072,35.1114966667,일반
14,01015,167840203,청운아파트,129.0305383333,35.109655,일반
16,01017,168020201,부산디지털고,129.031799,35.109566,일반
20,01021,168020102,중구청.메리놀병원,129.032933295156,35.107534471459,일반
23,01024,167910102,거북맨션,129.033933936088,35.109796229546,일반
25,01026,167910202,코모도호텔,129.0348783333,35.1101883333,일반
26,01027,167670201,영주신호대,129.0344316667,35.111245,일반
27,01028,167680201,영주동,129.03500426832,35.112254907385,일반
29,01036,167930101,2부두,129.0406533333,35.1085616667,일반
31,01044,169270202,연안여객터미널,129.039155,35.1060766667,일반
33,01046,167930201,부산세관,129.03744,35.1040166667,일반
34,01047,167710301,제일은행앞,129.0348333333,35.1029516667,일반
35,01048,167950102,백산기념관.영화체험박물관,129.034246946511,35.102682571984,일반
36,01052,167730101,부산항만공사,129.037685,35.10077,일반
38,01058,208830101,중앙공원.민주공원,129.028602,35.112736,일반
39,01061,167960201,영도대교.남포역,129.036016348339,35.097318312926,일반
42,01064,167850202,영도대교,129.035885,35.0970583333,일반
43,01068,168000105,자갈치시장,129.032435,35.097535,일반
45,01076,168000102,신동아시장,129.0293006298,35.097133805,일반
47,01080,167810401,서구청.충무동,129.025567762691,35.098028422252,일반
48,01083,167920101,부평시장,129.0251683333,35.1012583333,일반
50,01085,167920501,남포주유소,129.0225111668,35.1015056102,일반
51,01088,167890101,보수초등학교,129.0238655294,35.1056298688,일반
53,01090,167770301,보수사거리,129.0243683333,35.1032483333,일반
55,01092,167790201,국제시장,129.028608921862,35.1028444487,일반
58,01096,167790204,국제시장.부산근대역사관,129.030568,35.10277284,일반
61,01101,167790101,새들맨션,129.0309433333,35.1050166667,일반
63,01103,168250101,중구종합사회복지관,129.02863,35.10577,일반
65,01105,168410206,보수아파트,129.0261566667,35.1073866667,일반
67,01107,168410205,혜광고교,129.024225,35.1089233333,일반
69,01111,167780101,보수동책방골목,129.0264483333,35.1030566667,일반
71,01113,167670203,코모도호텔입구,129.03431470002,35.108091133632,일반
75,01703,510080000,중부경찰서삼거리,129.036246766564,35.10756416664,일반
76,01704,510130000,중앙역.중부경찰서삼거리,129.036241803791,35.106703629571,일반
77,01705,510120000,중앙역.부산우체국,129.036284037655,35.103332530929,일반
79,01707,509930000,부산데파트,129.036429658218,35.100811303038,일반
81,01709,509840000,남포역.옛시청교차로,129.03576599634,35.098596552389,일반
83,01711,509830000,남포동,129.032536657954,35.097929813667,일반
85,01713,510040000,자갈치역.비프광장,129.029504173349,35.09812482032,일반
87,02002,168570301,구덕초등학교,129.012931258924,35.119585100744,일반
89,02004,168780301,서부교육청,129.0119733333,35.1181683333,일반
91,02006,168470401,동아대병원입구,129.01671130109,35.117447299632,일반
92,02007,168570101,구덕운동장,129.0167683333,35.1165583333,일반
93,02009,168950301,동대신3동,129.0182933333,35.11722,일반
95,02011,168410202,동대고개,129.02175431303,35.116056837623,일반
97,02013,168410203,대신여중,129.0257783333,35.1133,일반
99,02015,168410204,락서암,129.0246133333,35.1103566667,일반
102,02018,167900101,화랑초등학교,129.022717806722,35.109833050038,일반
104,02020,168370101,동대시장,129.019941113593,35.110655016654,일반
105,02022,168670301,동대시장.동대신역,129.018450139125,35.110410037154,일반
106,02023,168670101,부산터널입구,129.022844825411,35.111663960728,일반
107,02024,168820301,서여고,129.0212833333,35.1126283333,일반
109,02026,168470202,동신초등학교입구,129.0192616667,35.1145383333,일반
110,02027,168470201,동신초등학교,129.01817,35.11513,일반
113,02030,168330101,문화아파트,129.016648274889,35.115445836323,일반
114,02031,168340201,부경고교,129.0140116667,35.114255,일반
117,02034,168620401,삼육부산병원,129.011595,35.112665,일반
118,02035,168610101,삼육부산병원.서대신역,129.0119116667,35.1115966667,일반
119,02036,168620302,서대신교차로.서대신역,129.0111201,35.11057689,일반
120,02038,168760101,광민약국.서대신동,129.0098166667,35.1110683333,일반
122,02040,168620201,서대신역.서부경찰서,129.01316,35.11043,일반
123,02041,168620101,서대신역.서대신교차로,129.013231714115,35.112256686977,일반
125,02043,168320303,구덕운동장(종점),129.0157633333,35.11389,일반
127,02045,168320301,서대신우체국,129.01649139909,35.112902528143,일반
128,02046,168320201,동대신역,129.017151791263,35.111077651761,일반
129,02048,168370301,서대시장.동대신역,129.016797275181,35.109864798396,일반
130,02050,168280101,서대시장,129.0161716667,35.10945,일반
132,02052,168370201,서부교회,129.0183,35.1091866667,일반
135,02055,168460304,대진아파트,129.0244833333,35.0872766667,일반
136,02056,168350201,동아대부민캠퍼스,129.0200916667,35.106025,일반
137,02057,168950101,동아대학교병원,129.016650163503,35.119427715614,일반
141,02061,168530401,영락교회,129.02061,35.1033833333,일반
143,02064,168380101,부산대학병원.토성역,129.019925,35.1013433333,일반
145,02066,168380401,토성역.아미동입구,129.018015,35.09994,일반
147,02068,168500301,아동보호종합센터,129.0158716667,35.1000166667,일반
148,02069,168500302,양성슈퍼,129.0133566667,35.1002233333,일반
149,02070,168600301,까치새길입구,129.01153,35.10138,일반
150,02071,168600302,아름다운교회,129.0109616667,35.10309,일반
155,02076,168500201,아미치안센터,129.016077491103,35.099435021404,일반
157,02078,168490101,아미초등학교,129.017205,35.0977433333,일반
159,02080,168380301,토성동,129.0205283333,35.09805,일반
162,02084,208920102,암남공원,129.019225,35.0631183333,일반
163,02085,167920303,서구청,129.025152229487,35.097647885044,일반
164,02087,168460201,충무동해안시장,129.025246431282,35.09615735956,일반
166,02089,211000106,자갈치역.충무동해안시장,129.024512762525,35.095774249314,일반
167,02090,168460303,충무동교차로,129.0242666667,35.0956266667,일반
168,02091,168460401,자갈치역.충무동교차로,129.023802582702,35.096626837849,일반
171,02094,168750302,하동상회,129.0182383333,35.0962383333,일반
173,02096,168750301,초장중학교,129.0190866667,35.094505,일반
175,02098,168480103,초장동,129.018435964282,35.092856705727,일반
177,02100,168750201,대원사,129.020005,35.091555,일반
179,02102,168400201,남부민시장입구,129.022126937903,35.092653874934,일반
181,02104,168460301,충무쇼핑.충무동새벽시장,129.023895,35.092815,일반
183,02106,211000104,공동어시장,129.024375,35.089665,일반
185,02108,168540303,남부민초등학교,129.0234066667,35.0878283333,일반
187,02110,168640303,동천아파트,129.021685,35.0900566667,일반
189,02112,168750203,남부민동경로당,129.02179,35.08767,일반
191,02114,168730202,천마우편취급국,129.0225133333,35.0858483333,일반
193,02116,168460305,등대시장,129.02478,35.0847133333,일반
195,02118,211000101,대림아파트,129.0251483333,35.082445,일반
197,02120,168450102,부산관광고교,129.0220016667,35.0821183333,일반
198,02121,168540301,남부민2동주민센터,129.020285,35.083805,일반
201,02124,168540101,신익아파트,129.02039,35.0799883333,일반
203,02126,211000201,암남동주민센터,129.021318652834,35.079862005925,일반
205,02128,168560101,송도교차로,129.0183633333,35.0783683333,일반
206,02129,168560301,송도입구,129.0180466667,35.079465,일반
207,02130,168420301,고신대학교복음병원,129.016151096211,35.081470460701,일반
208,02131,168430201,알로이시오기념병원,129.01282,35.0821183333,일반
213,02136,168560201,송도초등학교,129.016815,35.0788383333,일반
215,02138,209910203,송도해수욕장,129.0161333333,35.076375,일반
217,02140,168560203,송도공영주차장,129.015295,35.074225,일반
219,02142,208920202,혜성아파트,129.0161383333,35.0714983333,일반
221,02144,208920101,휴게소,129.0192966667,35.0660783333,일반
224,02147,168550201,모지포마을입구,129.0163333333,35.0627916667,일반
225,02148,168550202,모지포마을,129.014585,35.0637716667,일반
226,02149,168780102,경성전자고등학교,129.013549776696,35.116055742666,일반
228,02151,168510101,동원냉장,129.012798,35.065605,일반
229,02152,168510301,감천1.2.3부두,129.0094683333,35.0683283333,일반
231,02154,168760201,민들레맨션,129.0092033333,35.1086483333,일반
233,02156,210980301,인성글로벌냉장,129.006735,35.072705,일반
235,02158,208850201,한일냉장,129.0053883333,35.08054,일반
237,02160,168780302,서대신금호아파트(종점),129.0111616667,35.1193233333,일반
238,02161,209910201,송도혜성아파트(종점),129.015955,35.072275,일반
239,02162,168250305,동대신2동,129.0238266667,35.1152433333,일반
241,02166,208850202,동양레미콘,129.0060016667,35.0757866667,일반
244,02169,168780101,대신중학교,129.01375,35.117025,일반
245,02170,168570501,경남고등학교,129.0179916667,35.1191366667,일반
246,02171,208920201,현대아파트,129.017532266419,35.070902211983,일반
248,02173,168750204,해강노인관,129.0202183333,35.0850416667,일반
251,02177,168520201,성진수산,129.012010098387,35.062186515951,일반
253,02179,168850201,부산국제수산물도매시장,129.011436,35.059938,일반
256,02182,212650201,수산가공선진화단지입구,129.0122832,35.05705224,일반
258,02184,215970101,수산가공선진화단지,129.011955445317,35.054637982065,일반
260,02186,168750205,남부민동,129.0179927,35.08326948,일반
261,02187,168630201,동산교회,129.0157694,35.08439027,일반
262,02188,168870201,알로이시오고교,129.012298746371,35.082348147692,일반
265,02191,210740201,천마마을,129.0144322,35.08451163,일반
267,02195,168600303,까치고개,129.011425,35.1045816667,일반
268,03001,170050202,범곡교차로,129.0562937,35.14008672,일반
270,03003,169300101,부산범천교회,129.054860427563,35.141841175067,일반
271,03004,169210102,아름빌아파트,129.052248722123,35.141521517731,일반
273,03006,169210101,서광교회,129.05114,35.139965,일반
275,03008,169410301,범일초등학교,129.0490066667,35.1406983333,일반
276,03009,169410302,삼화약국,129.0487933333,35.1433733333,일반
281,03014,210060101,성북고개,129.04816,35.138795,일반
284,03017,210060201,좌천할인마트.서린엘마르더뷰,129.047000416464,35.136724680015,일반
285,03018,210050101,좌천동농심가슈퍼,129.0472966667,35.1368433333,일반
286,03019,169230301,수정삼거리,129.04568,35.1353483333,일반
290,03023,169230201,수정5동,129.0446783333,35.1340216667,일반
292,03025,169230202,수정성당입구,129.046115,35.1323283333,일반
293,03027,169440301,수정초등학교,129.046995,35.1313666667,일반
294,03028,169200101,수성초등학교,129.042705,35.1339116667,일반
296,03030,169200301,동여중,129.042245,35.1323216667,일반
298,03032,169500301,수정2동,129.04061,35.1303016667,일반
300,03034,169500101,수정아파트,129.040875,35.12719,일반
302,03036,169500102,묘심사,129.03943,35.1265133333,일반
303,03037,169180201,부산서중학교,129.035755481689,35.125936557942,일반
306,03040,169310103,초량6동,129.0348466667,35.12421,일반
308,03042,169310102,부산컴퓨터과학고교,129.0338733333,35.1222383333,일반
310,03044,169310101,금수사,129.0307666667,35.1198316667,일반
312,03046,169450502,초량6동주민센터,129.0337366667,35.1201366667,일반
314,03048,169310203,(구)해룡약국,129.0361216667,35.119645,일반
315,03049,169310301,화신아파트,129.0300883333,35.1185183333,일반
317,03051,169310302,동일파크맨션,129.033616358881,35.116875118519,일반
319,03061,169330202,부산역후문,129.0430416667,35.1143116667,일반
321,03065,169100301,국민은행,129.0396433333,35.11718,일반
322,03066,169450401,초량지구대,129.037728642867,35.117926224452,일반
324,03068,169450503,부산고교,129.038198,35.120503,일반
328,03073,169140301,초량시장입구,129.040797663024,35.11864626729,일반
329,03074,169130201,부산역.초량시장입구,129.040142473547,35.116873156872,일반
330,03082,169030401,초량역3번출구,129.041653,35.119834,일반
331,03083,169450101,(구)성분도병원,129.0403283333,35.1225983333,일반
332,03085,169040301,경남여중,129.042385,35.1241133333,일반
333,03086,169040201,인창병원,129.0429316667,35.1226833333,일반
335,03093,169340201,4부두,129.047539495334,35.119299661743,일반
337,03099,169610202,고관입구,129.0453733333,35.1263483333,일반
338,03101,169490101,동구청,129.045055,35.1268433333,일반
340,03103,169440201,수정시장,129.04634,35.12862,일반
343,03113,169350101,부두119안전센터,129.05139833312,35.125673579411,일반
345,03115,169670401,남해지방해양경찰청,129.05485,35.127555,일반
347,03124,170030201,범일5동주민센터,129.05423,35.1304233333,일반
349,03126,170000201,대양산업,129.0573333333,35.1313266667,일반
351,03128,169940101,보급창,129.059665,35.132115,일반
352,03129,169920201,자성대,129.06077,35.1345866667,일반
354,03136,169950302,좌천동가구거리(좌천역),129.0552366667,35.13527,일반
357,03144,169770201,시민회관.동부산우체국,129.0625433333,35.1382933333,일반
359,03146,169990101,범일동국민은행,129.06087836314,35.138925949637,일반
360,03149,164200201,자유.평화시장,129.060251532728,35.140635497141,일반
362,03151,208120101,덕림아파트,129.038486112595,35.126315531405,일반
