순위,지역,정류장명,승차,하차,총 이용인원
1,부산광역시,부산역(2600055),"10,144","5,890","16,034"
2,부산광역시,롯데호텔백화점서면역(2613487),"5,262","4,171","9,433"
3,부산광역시,롯데호텔백화점서면역(2613488),"5,701","2,791","8,492"
4,부산광역시,롯데호텔백화점서면역(2616302),"5,618","2,622","8,240"
5,부산광역시,구포시장(2600925),"4,375","3,407","7,782"
6,부산광역시,서면한전(2621685),"5,115","2,384","7,499"
7,부산광역시,부전시장(2621687),"4,976","2,350","7,326"
8,부산광역시,서면역.서면지하상가(2621684),"5,570","1,625","7,195"
9,부산광역시,부전시장(2621686),"4,255","2,388","6,643"
10,부산광역시,덕천역(2601464),"4,207","2,066","6,273"
